,Unnamed: 0,StateWellNumber,StateWel_1,LatitudeDD,Dlat,Mlat,Slat,LongitudeD,Dlong,Mlong,Slong,TDS_mg/L,WellDepth,SAR,Hardness_mg/L,Calcium_mg/L,Magnesium_mg/L,Sulfate_mg/L,Chloride_mg/L,Fluoride_mg/L,pH,Texture_SSURGO,Texture_Num,Clay_SSURGO,SAR_SSURGO,EC_SSURGO,label,ppt
124,124,1830602,1830602,33.577778,33,34,40.0,-96.268611,96,16,7.0,930.0,461,43.95666667,22.33333333,4.6,2.8,72.66666667,54.0,2.166666667,8.666666667,Silt loam,5,22.5,1,1.0,1,1128.378052
125,125,1831201,1831201,33.586945,33,35,13.0,-96.171111,96,10,16.0,838.0,1282,52.192,7.4,1.42,1.06,201.2,69.2,1.525,8.354,Silt loam,5,22.5,1,1.0,0,1141.292847
126,126,1838302,1838302,33.4844444,33,29,4.0,-96.2541667,96,15,15.0,739.0,1297,50.2025,6.25,2.0,0.455,189.0,44.0,1.325,8.275,Silt loam,5,22.5,1,1.0,0,1110.584717
127,127,1810802,1810802,33.783611,33,47,1.0,-96.822222,96,49,20.0,267.0,345,2.28,110.0,26.0,11.0,43.0,22.0,0.4,6.9,Loam,4,18.0,2,1.0,0,1028.61499
128,128,1819303,1819303,33.7147222,33,42,53.0,-96.6580556,96,39,29.0,384.0,620,38.28,5.0,1.7,0.2,104.0,18.0,0.6,8.4,Loam,4,18.0,2,1.0,0,1081.893555
129,129,1825302,1825302,33.584167,33,35,3.0,-96.893611,96,53,37.0,212.0,320,1.31,113.0,29.0,10.0,40.0,23.0,0.3,8.4,Loam,4,18.0,2,1.0,0,1035.975586
130,130,1825607,1825607,33.560001,33,33,36.0,-96.878611,96,52,43.0,312.0,330,1.2,179.5,54.0,11.0,93.5,26.0,0.35,7.9,Loam,4,18.0,2,1.0,0,1033.588135
131,131,1825608,1825608,33.559167,33,33,33.0,-96.889722,96,53,23.0,206.0,309,1.35,112.0,32.0,8.0,17.0,21.0,0.3,7.4,Loam,4,18.0,2,1.0,0,1033.588135
132,132,1833602,1833602,33.441111,33,26,28.0,-96.916667,96,55,0.0,427.0,220,3.52,137.0,37.0,11.0,129.0,36.0,0.3,8.7,Loam,4,18.0,2,1.0,0,1033.104614
133,133,3319301,3319301,32.731389,32,43,53.0,-96.630555,96,37,50.0,546.0,1600,22.72,15.0,3.0,2.0,109.0,78.0,1.9,7.9,Fine sandy loam,8,17.5,2,1.0,0,1023.602295
134,134,3336201,3336201,32.4619444,32,27,43.0,-96.5697222,96,34,11.0,1844.947368,1982,75.63736842,17.15789474,4.935294118,1.367647059,420.7235294,240.2647059,4.799444444,8.269444444,Fine sandy loam,8,17.5,2,1.0,1,1024.340576
